index,"n_[0, 1000000)","n_[1000000, 2000000)","n_[2000000, 3000000)","n_[3000000, 5000000)","n_[5000000, 7500000)","n_[7500000, 10000000)","n_[10000000, 15000000)","n_[15000000, 25000000)","n_[25000000, 100000000)","med_PxM2_[0, 1000000)","med_PxM2_[1000000, 2000000)","med_PxM2_[2000000, 3000000)","med_PxM2_[3000000, 5000000)","med_PxM2_[5000000, 7500000)","med_PxM2_[7500000, 10000000)","med_PxM2_[10000000, 15000000)","med_PxM2_[15000000, 25000000)","med_PxM2_[25000000, 100000000)",n_TOTAL_FILA
"[0, 50)",15,49,120,79,3,0,0,0,0,17021.27659574468,41666.66666666666,61802.07800387597,77957.44680851063,120408.16326530612,,,,,266.0
"[50, 80)",9,134,273,519,104,4,0,0,0,14737.704918032789,27041.666666666664,39558.82352941176,60652.17391304348,77650.72765072764,128302.58920940172,,,,1043.0
"[80, 120)",3,53,181,481,441,97,10,2,0,8288.288288288288,18425.925925925927,27800.0,42017.54385964912,60771.76470588235,80280.3738317757,107418.0386245111,167352.15338664612,,1268.0
"[120, 180)",2,13,75,331,297,217,71,29,1,6127.966666666666,13178.29457364341,18897.63779527559,27852.34899328859,42968.75,58333.333333333336,76859.31176470588,108391.6083916084,170253.16455696203,1036.0
"[180, 250)",6,6,35,151,284,291,118,35,4,3098.40308370044,7920.104211897526,13020.833333333334,21428.571428571428,30501.53822780964,38306.45161290323,55583.90022675738,91408.71689497716,120816.18445031432,930.0
"[250, 400)",1,2,10,68,112,261,304,205,47,3960.0,6932.479704797048,9876.65471060305,14567.560099474993,21513.492063492064,29613.09523809524,37467.947051282055,55188.56857142857,90322.58064516127,1010.0
"[400, 600)",0,1,0,7,17,43,133,243,211,,4977.0825,,7971.014492753623,13785.046728971962,19750.0,26700.0,42475.0,65011.82033096927,655.0
"[600, 1000)",0,1,1,0,4,8,37,79,155,,1648.3516483516485,2981.651376146789,,7561.65278458272,12738.62805991962,18813.131313131315,28409.090909090908,51428.57142857143,285.0
"[1000, 10000)",0,0,0,1,0,1,5,12,68,,,,1452.1739130434785,,4395.0,8000.0,15145.07973850056,39268.09210526316,87.0
TOTAL_COLUMNA,36,259,695,1637,1262,922,678,605,486,,,,,,,,,,
