colonia,municipio,precio_count,precio_mean,precio_median,precio_por_m2_mean,precio_por_m2_median
La Mesa de La Coronilla,Zapopan,3,35166.67,33500.0,351.99,341.84
Puerta de Hierro,Zapopan,74,51953.38,48000.0,340.37,361.86
Lomas del Country,Guadalajara,18,21586.06,22500.0,339.94,350.0
Puerta de Plata,Zapopan,21,49842.86,50000.0,339.9,333.33
Providencia,Guadalajara,28,28518.43,25801.5,330.66,322.99
Colomos Providencia,Guadalajara,48,29962.5,25650.0,319.7,315.56
Ayuntamiento,Guadalajara,14,22052.07,22000.0,318.73,285.71
Blanco y Cuellar,Guadalajara,3,15000.0,15000.0,314.17,344.44
Chapalita,Guadalajara,13,20269.23,19000.0,312.23,295.45
El Bajío,Zapopan,6,25250.0,25000.0,306.6,351.56
Puerta del Bosque,Zapopan,6,52000.0,41000.0,306.07,308.26
Chapultepec Country,Guadalajara,3,23000.0,24000.0,305.16,295.45
Las Lomas Golf Hábitat,Zapopan,3,62166.67,33000.0,304.0,300.0
Sin Nombre,Zapopan,3,63666.67,36000.0,299.2,296.61
Puerta del Valle,Zapopan,12,24016.67,25000.0,293.8,306.49
Moderna,Guadalajara,14,20460.71,18400.0,291.17,301.3
Arcos,Guadalajara,7,19381.43,19000.0,290.58,276.82
Vallarta San Jorge,Guadalajara,18,37591.67,38000.0,289.69,284.04
Obrera,Guadalajara,22,21911.36,22000.0,287.59,266.51
Italia Providencia,Guadalajara,10,27665.0,26225.0,287.2,296.91
Arcos Vallarta,Guadalajara,51,23259.8,23000.0,286.05,296.61
Providencia 2a Sección,Guadalajara,11,28909.09,29000.0,285.49,297.87
Hacienda de Las Lomas,Zapopan,5,34800.0,33000.0,283.0,264.0
Centro,Zapopan,5,22405.4,23000.0,282.61,255.56
Puerta del Tule,Zapopan,17,23055.88,22000.0,282.43,272.73
Americana,Guadalajara,36,22130.56,21300.0,282.34,293.23
Poniente,Zapopan,20,27015.0,27250.0,282.18,275.25
Circunvalación Américas,Guadalajara,3,34186.67,33560.0,281.07,260.87
Ladrón de Guevara,Guadalajara,37,27059.46,26500.0,278.69,280.0
Colinas de San Javier,Guadalajara,8,36125.0,28250.0,277.45,284.17
Prados Providencia,Guadalajara,38,33700.0,32500.0,274.28,273.86
Puerta Las Lomas,Zapopan,10,112100.0,125000.0,273.95,263.31
Country Club,Guadalajara,35,45551.43,35000.0,273.62,270.83
Alcalde Barranquitas,Guadalajara,7,19214.29,17000.0,269.56,250.0
Monraz,Guadalajara,12,36025.0,32900.0,268.74,252.27
Solares,Zapopan,14,21511.07,21750.0,266.39,287.9
Vallarta Norte,Guadalajara,10,40470.0,24750.0,265.82,235.28
Vallarta Universidad,Zapopan,4,21700.0,21650.0,265.5,270.09
Santa Rita,Guadalajara,4,33750.0,35000.0,265.14,244.19
El Vigía,Zapopan,3,16000.0,14000.0,263.99,256.25
Sole Real,Zapopan,7,25271.43,27000.0,261.03,261.11
La Ceiba,Zapopan,3,57666.67,28000.0,260.37,243.48
Mirador del Sol,Zapopan,3,19000.0,20000.0,253.2,262.5
Cima Real,Zapopan,6,32416.67,32500.0,253.14,287.49
Colinas de San Javier,Zapopan,5,55720.0,40000.0,251.39,251.57
El Retiro,Guadalajara,6,14333.33,13750.0,246.48,257.95
Juan Manuel Vallarta,Zapopan,6,26166.67,27000.0,245.78,257.5
Arcos de Guadalupe,Zapopan,7,25171.43,24900.0,244.65,241.75
Lomas Altas,Zapopan,9,27256.33,28417.0,243.88,248.15
Circunvalación Vallarta,Guadalajara,4,26225.0,24450.0,243.83,237.22
